1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:45462204-45462650	10	12	19	22	6	10	12
22:45467651-45467920	1	0	2	4	8	5	2
22:45473491-45473691	5	3	0	9	0	6	4
22:45473719-45474037	9	3	4	3	0	18	8
22:45475230-45475740	15	16	4	10	8	7	23
22:45475987-45476260	18	5	5	3	6	5	8
22:45483337-45483558	13	4	1	1	1	3	3
22:45485003-45485203	13	4	2	4	2	0	6
22:45486535-45486735	0	3	2	12	4	0	6
22:45487285-45487647	23	2	4	10	2	7	4
22:45490807-45491007	9	5	3	12	1	1	3
22:45496325-45496525	17	5	1	5	2	4	9
22:45499143-45499363	8	4	13	6	3	10	4
22:45499775-45500150	15	31	22	7	3	7	15
22:45502546-45503297	62	45	30	10	10	40	24
22:45503596-45503899	15	21	5	9	6	20	7
22:45509197-45509590	17	6	18	29	2	17	20
22:45510821-45511071	17	7	6	9	0	7	2
22:45512537-45512755	6	10	6	13	2	7	17
22:45516076-45516364	9	6	10	2	5	18	16
22:45517074-45517284	13	12	2	5	2	2	6
22:45524444-45524644	12	7	12	13	2	4	8
22:45525522-45525934	25	24	14	13	7	6	11
22:45529326-45529588	13	8	1	23	4	10	7
22:45532766-45533290	39	36	16	21	11	7	17
22:45535217-45535443	2	4	3	10	4	13	12
22:45537928-45538186	13	14	7	9	0	7	15
22:45540586-45541000	19	9	22	12	0	9	16
22:45548691-45548959	19	11	12	7	2	10	10
22:45553893-45554125	14	14	8	8	4	13	7
22:45562738-45562952	5	12	2	3	1	6	9
22:45563132-45563623	16	7	8	18	16	15	8
22:45568486-45568686	9	10	1	3	0	2	7
22:45574508-45574737	7	5	13	8	2	21	3
22:45575457-45575713	4	7	4	20	5	2	12
22:45578095-45578488	60	41	25	18	17	32	31
22:45580279-45580479	15	5	5	7	9	9	2
22:45583033-45583257	1	7	5	8	0	6	18
22:45583680-45583899	10	7	19	5	6	8	13
22:45586766-45587000	6	17	9	14	8	3	9
22:45588102-45588322	7	1	1	18	2	5	7
22:45597579-45597909	17	13	8	5	4	15	2
22:45599360-45599633	7	0	16	6	4	4	6
22:45602196-45602446	7	5	12	6	4	2	5
22:45609015-45609330	37	9	75	14	9	11	8
22:45612532-45613290	47	30	90	33	10	25	15
22:45618554-45619107	13	13	26	6	4	3	7
22:45622010-45622434	26	7	2	19	6	16	12
22:45622488-45622688	11	3	1	4	0	7	13
22:45622694-45622894	1	4	3	13	0	8	14
22:45622927-45623145	4	1	2	5	2	13	7
22:45629541-45629784	6	4	6	3	0	12	8
22:45638932-45639225	21	13	23	9	4	4	9
22:45639427-45640075	37	28	28	28	9	22	28
22:45640487-45640687	16	10	10	10	1	5	1
22:45645341-45646363	232	254	150	78	44	142	97
22:45654056-45654256	6	2	0	1	0	3	13
22:45663248-45663687	6	2	4	6	6	6	18
22:45671504-45672860	611	772	340	148	126	385	332
22:45683819-45684492	31	18	14	13	14	12	27
22:45689213-45689648	15	5	4	7	7	13	13
22:45698190-45698484	18	2	7	3	0	5	0
22:45701109-45701432	9	2	4	5	4	10	6
22:45709511-45709819	13	4	1	5	2	10	1
22:45710788-45711089	2	0	0	4	8	0	0
22:45720247-45720563	8	0	0	9	8	7	1
22:45720767-45721166	7	0	12	5	4	3	6
22:45721821-45722249	8	12	2	18	2	12	2
22:45723431-45723773	10	8	2	4	0	8	22
22:45726696-45726896	11	0	0	6	0	5	2
22:45730010-45730227	3	2	6	2	2	0	10
22:45731613-45731823	0	3	5	2	4	6	0
22:45737788-45738025	3	3	0	0	0	7	3
22:45738493-45738943	6	0	13	6	10	2	5
22:45750233-45750533	2	0	0	9	0	13	6
22:45752349-45752549	9	7	6	10	0	8	6
22:45755020-45755271	5	14	4	6	0	2	6
22:45760773-45760973	2	4	1	2	7	2	4
22:45762565-45763284	26	10	15	9	6	10	28
22:45763320-45763652	9	10	6	7	2	16	9
22:45763966-45764181	10	1	0	5	0	8	3
22:45770605-45770818	6	6	3	7	4	0	11
22:45774197-45774468	13	1	6	2	1	2	2
22:45775268-45775468	4	8	2	9	0	2	3
22:45783814-45784033	0	1	2	9	2	0	11
22:45789647-45789879	2	6	0	4	6	0	6
22:45795923-45796396	5	7	6	5	3	2	14
22:45799323-45799604	1	0	0	6	2	10	1
22:45803355-45803657	1	1	1	15	0	2	8
22:45804019-45804219	2	8	0	4	2	3	3
22:45805456-45805697	3	11	1	3	0	7	2
22:45806979-45807179	2	0	1	4	0	9	9
22:45807486-45807960	5	4	4	6	2	5	15
22:45812130-45812370	3	4	1	5	0	4	15
22:45813020-45813222	9	0	2	5	0	4	5
22:45816202-45816429	0	1	12	4	0	1	3
22:45816893-45817093	0	1	1	11	7	9	1
22:45819253-45819453	2	3	3	4	0	8	0
22:45830955-45831329	33	5	6	1	10	4	2
22:45831923-45832163	8	12	5	5	4	1	1
22:45835312-45835651	3	14	4	21	3	6	5
22:45841433-45841730	11	0	3	4	2	9	7
22:45842088-45842468	1	3	13	4	0	7	6
22:45844275-45844484	2	10	0	5	0	0	3
22:45856643-45857064	23	14	6	20	7	6	13
22:45857127-45857465	17	18	10	14	8	11	15
22:45863994-45864719	57	81	67	26	12	50	35
22:45865588-45865876	12	14	4	30	3	9	9
22:45866676-45866961	23	7	16	7	6	10	5
22:45878267-45878754	33	29	19	19	14	16	22
22:45879073-45879433	14	15	14	17	8	23	13
22:45880929-45881164	30	9	11	10	11	7	8
22:45883468-45883696	13	20	5	11	4	11	11
22:45885120-45885320	11	7	12	1	8	7	8
22:45888027-45888227	20	6	8	7	4	4	7
22:45888329-45888533	3	2	21	12	6	7	14
22:45892002-45892309	14	21	4	14	2	4	14
22:45897423-45897830	12	10	11	16	13	6	29
22:45903683-45904085	29	17	16	14	22	10	12
22:45904317-45904544	10	3	6	19	1	2	13
22:45905415-45905626	20	3	10	9	0	12	16
22:45906331-45906879	27	25	45	25	6	20	15
22:45917213-45917447	5	13	1	8	15	2	6
22:45922500-45922732	19	3	6	24	8	15	11
22:45922870-45923240	14	13	30	7	7	40	13
22:45926715-45927082	33	8	10	13	17	4	14
22:45930854-45931141	9	3	11	5	11	3	18
22:45938095-45938317	4	0	4	8	48	78	3
22:45942273-45942714	32	26	21	13	6	21	28
22:45946147-45946381	7	8	3	5	14	7	5
22:45947640-45947862	11	6	3	25	0	14	12
22:45947910-45948110	18	8	13	8	2	3	7
22:45948256-45948530	30	22	16	11	5	9	12
22:45949981-45950288	12	10	12	8	0	28	10
22:45955930-45956253	7	15	10	25	7	8	11
22:45958214-45958414	11	12	6	9	1	9	15
22:45958964-45959257	16	29	22	19	3	17	10
22:45964707-45965029	17	28	16	18	21	8	15
22:45966499-45966699	9	9	11	15	11	4	13
22:45977144-45977344	34	34	17	17	15	24	13
22:45978606-45979469	538	615	324	152	59	227	179
22:45980328-45980606	12	8	12	39	8	19	36
22:45994935-45995323	61	78	52	39	18	39	25
22:45997649-45997851	26	24	10	5	2	16	10
22:46001035-46001389	32	31	20	23	4	24	10
22:46003437-46003704	8	2	5	13	7	12	27
22:46006255-46006922	157	160	132	97	53	110	49
22:46012950-46013230	26	20	23	25	20	29	26
22:46013416-46014500	770	717	528	156	142	270	248
22:46021419-46021993	23	4	13	37	4	6	28
22:46022823-46023023	1	0	1	5	5	2	2
22:46023768-46024003	10	18	0	16	2	0	7
22:46026712-46026912	13	9	1	7	11	5	8
22:46027331-46027626	25	14	12	10	4	20	11
22:46028896-46029142	21	5	7	7	0	0	15
22:46030399-46030617	10	9	0	22	4	8	9
22:46035659-46037287	1792	3729	939	699	271	1815	1253
22:46044258-46046163	200	270	76	124	35	156	145
22:46052992-46053341	67	41	28	35	8	37	19
22:46053476-46054833	420	628	200	162	67	369	222
22:46058167-46058533	146	159	141	39	55	86	37
22:46064386-46064651	14	11	7	11	13	5	9
22:46069240-46069450	13	28	19	16	8	26	15
22:46070423-46072829	862	964	374	190	104	323	250
22:46079570-46079771	6	10	0	9	12	9	8
22:46080035-46080254	6	7	2	6	0	13	5
22:46081601-46081849	8	11	1	10	2	2	18
22:46085329-46085611	2	6	5	10	4	14	6
22:46086916-46087132	7	10	2	23	2	10	9
22:46087849-46088464	34	22	16	18	20	16	23
22:46098964-46099243	26	10	3	11	2	12	14
22:46102939-46103139	6	16	6	8	0	3	8
22:46116316-46117065	217	324	162	135	56	214	150
22:46122389-46122892	70	99	69	60	23	60	50
22:46122936-46123136	18	22	18	22	5	9	12
22:46123942-46124254	11	31	9	19	13	40	16
22:46129336-46129613	13	13	4	32	6	1	6
22:46131439-46131656	6	3	2	3	5	1	23
22:46132759-46132959	11	6	2	18	9	7	5
22:46136295-46136502	4	14	1	19	6	7	13
22:46138418-46138628	13	1	15	8	1	3	5
22:46140125-46140325	11	6	4	10	3	4	11
22:46149134-46151495	1055	1823	508	418	114	817	467
22:46161871-46162177	12	6	2	9	0	7	6
22:46162375-46162619	13	6	2	9	0	1	7
22:46163662-46163927	13	5	0	0	2	5	2
22:46171454-46172217	30	15	26	24	8	13	19
22:46173387-46173651	1	0	0	8	10	3	0
22:46181154-46181552	5	11	1	19	1	7	8
22:46184880-46185106	1	4	8	1	0	0	3
22:46187040-46187338	2	3	9	13	11	33	11
22:46187493-46187761	5	1	5	18	0	4	6
22:46188841-46189091	0	3	1	18	0	3	2
22:46193992-46194225	8	8	8	5	0	7	2
22:46195904-46196257	6	8	2	6	14	1	7
22:46196321-46196525	3	5	2	5	6	2	10
22:46201380-46201757	15	8	8	7	0	8	4
22:46207918-46208118	2	1	2	1	0	4	4
22:46208932-46209132	3	2	0	6	2	2	8
22:46213147-46213543	49	4	65	3	17	2	4
22:46214224-46214475	8	2	6	8	3	8	14
22:46214482-46214946	8	17	3	9	2	12	8
22:46216511-46216711	3	8	2	9	4	2	2
22:46216890-46217255	10	5	4	19	0	2	16
22:46221090-46221569	32	6	22	5	8	2	6
22:46223636-46223913	0	4	2	2	4	0	13
22:46224973-46225173	0	4	2	12	5	0	7
22:46225321-46225521	4	10	3	3	2	2	0
22:46225634-46225880	10	6	10	13	1	10	4
22:46231844-46232044	3	5	0	2	2	11	5
22:46233485-46233733	21	11	6	2	2	3	6
22:46239310-46240502	28	98	26	25	28	48	49
22:46249884-46251050	841	1311	495	265	122	567	349
22:46251994-46252218	46	15	65	0	7	6	0
22:46254404-46254725	130	12	109	16	24	9	21
22:46262566-46263054	46	17	9	7	10	13	22
22:46267542-46268387	196	250	107	50	43	65	93
22:46280417-46280660	16	7	12	16	4	4	4
22:46281110-46281351	0	2	5	21	0	7	6
22:46287363-46287563	3	3	0	10	4	11	2
22:46288380-46288621	18	6	14	9	7	12	8
22:46289991-46290332	9	10	19	8	0	2	11
22:46290526-46290843	28	16	7	7	8	2	15
22:46296311-46297451	1022	1656	768	450	252	889	619
22:46310023-46310349	7	8	7	25	0	4	9
22:46313998-46314691	51	48	48	52	10	41	30
22:46320229-46320435	5	13	4	3	0	0	12
22:46320454-46320708	19	9	6	16	6	1	3
22:46322271-46322487	9	2	3	9	0	1	15
22:46322888-46323608	7	28	13	29	6	29	29
22:46328537-46328742	5	11	0	20	2	5	7
22:46329032-46329293	13	5	4	12	8	7	7
22:46329635-46330002	17	16	2	25	6	5	23
22:46335301-46337052	344	321	282	127	51	191	121
22:46344698-46345048	4	4	16	7	1	2	12
22:46350774-46350981	9	3	4	10	8	2	16
22:46352859-46353087	14	11	6	23	5	9	3
22:46353089-46353401	29	5	26	18	10	8	9
22:46355513-46355781	26	36	24	17	3	31	17
22:46356010-46356233	4	11	10	32	5	15	12
22:46364600-46364800	7	15	3	6	5	17	8
22:46364833-46365187	28	8	5	13	23	9	5
22:46366805-46368047	188	237	128	145	64	134	77
22:46371071-46371339	31	41	19	57	7	23	10
22:46373276-46373547	18	19	23	28	1	12	10
22:46373932-46374739	82	56	64	41	31	56	30
22:46378729-46378989	18	0	6	13	3	15	18
22:46381573-46381975	13	16	4	22	17	4	21
22:46385514-46385714	2	5	6	4	6	3	1
22:46386361-46386651	3	7	3	13	2	13	7
22:46388809-46389009	13	10	6	8	2	1	2
22:46390210-46390470	6	19	5	8	1	3	12
22:46391563-46391864	22	11	2	10	4	13	4
22:46393943-46394208	14	13	12	10	6	6	17
22:46398854-46399153	15	14	16	18	5	0	6
22:46399247-46399450	10	5	3	5	7	0	7
22:46399528-46399739	4	5	11	6	2	0	8
22:46406945-46407314	13	21	8	26	8	23	15
22:46408937-46409163	11	8	9	18	0	6	7
22:46409377-46409746	15	10	18	15	2	2	15
22:46410039-46410313	2	12	5	8	8	0	10
22:46412298-46412503	19	3	3	5	4	2	11
22:46419675-46419875	6	2	3	15	3	12	5
22:46421035-46421849	53	64	75	71	16	56	10
22:46423120-46423410	3	11	0	10	9	3	17
22:46428446-46428675	8	7	8	21	2	4	2
22:46432400-46432923	41	58	43	32	17	47	41
22:46433530-46433734	6	6	15	7	0	2	2
22:46439732-46440090	15	17	15	21	2	16	11
22:46440182-46440402	2	5	10	7	4	1	3
22:46442332-46442564	17	8	5	12	7	14	15
22:46445866-46446126	22	3	16	14	11	9	5
22:46447991-46448231	6	8	3	13	26	42	4
22:46449089-46449419	20	4	7	11	3	6	5
22:46454225-46454440	11	5	5	7	5	6	17
22:46454796-46455002	9	2	2	7	15	5	9
22:46457814-46458014	7	5	9	10	9	8	7
22:46458086-46458381	20	12	9	17	4	7	10
22:46463856-46464471	24	13	16	46	7	32	20
22:46464589-46464789	5	6	11	14	0	5	9
22:46466443-46466649	10	6	3	15	5	5	13
22:46470745-46470962	0	12	0	5	2	5	3
22:46473360-46473576	9	2	4	8	7	4	10
22:46474041-46474241	3	10	8	11	0	0	9
22:46476643-46476952	20	12	8	3	0	3	6
22:46487786-46488120	5	12	12	30	1	7	10
22:46488265-46488756	34	15	3	9	11	24	13
22:46489358-46489625	8	7	3	11	8	7	7
22:46490653-46490853	8	1	1	14	0	11	17
22:46495208-46495419	3	6	1	12	4	3	9
22:46499477-46499693	9	12	2	2	2	7	9
22:46499959-46500382	22	15	17	18	0	13	4
22:46500477-46500785	8	11	16	10	0	8	12
22:46502944-46503200	10	10	12	14	7	6	4
22:46503424-46503683	2	7	3	16	4	6	21
22:46507499-46507838	20	16	7	19	4	10	22
22:46509210-46509667	18	11	22	26	3	16	9
22:46512860-46513060	5	3	3	11	0	6	17
22:46514398-46514798	32	11	10	16	0	3	15
22:46515566-46515817	15	4	16	6	6	7	12
22:46524314-46524514	3	10	4	14	0	3	5
22:46524863-46525227	4	5	5	22	2	14	9
22:46526053-46526479	22	15	12	11	5	2	6
22:46526665-46526872	2	6	11	7	3	3	13
22:46528338-46528580	18	2	22	9	2	0	3
22:46536188-46536420	15	10	5	25	5	9	6
22:46536927-46537800	130	91	83	46	31	56	36
22:46542316-46542928	211	202	188	80	76	147	78
22:46547526-46547766	23	3	7	8	0	5	12
22:46551643-46551892	10	7	13	3	6	9	8
22:46557895-46558301	27	18	11	15	2	12	16
22:46563435-46564239	267	217	206	86	63	119	83
22:46568496-46568763	24	10	12	13	4	1	7
22:46569440-46570007	29	14	26	23	16	31	22
22:46576341-46578106	435	730	214	173	62	263	234
22:46578248-46578448	19	21	28	24	3	20	8
22:46578560-46578760	13	22	10	24	3	15	23
22:46586833-46587033	15	8	16	16	6	1	14
22:46587211-46587561	62	33	31	11	13	11	19
22:46587663-46588227	90	47	36	32	12	31	25
22:46588330-46588530	11	24	8	8	9	8	3
22:46592479-46592988	116	86	93	23	27	41	49
22:46594631-46594882	24	8	5	17	4	18	14
22:46598462-46598715	6	19	9	7	3	4	7
22:46600496-46600696	9	6	6	13	5	6	6
22:46604081-46604873	307	116	282	37	80	82	55
22:46612969-46613975	187	180	120	54	53	96	97
22:46614232-46615119	259	609	213	196	70	419	261
22:46615137-46615376	14	28	14	8	22	15	13
22:46620973-46621484	42	29	8	36	22	25	21
22:46635138-46635346	9	13	11	10	13	29	11
22:46635398-46635649	26	19	3	15	11	24	6
22:46635824-46636157	23	30	5	11	8	12	11
22:46638714-46638984	13	13	6	20	2	10	8
22:46639112-46639452	22	20	4	17	17	17	27
22:46644374-46644662	4	7	4	22	2	9	7
22:46647600-46647800	16	5	1	14	2	4	6
22:46652076-46652276	14	7	18	5	8	7	2
22:46653636-46654122	57	23	52	24	17	7	5
22:46660678-46661338	99	162	107	96	19	111	60
22:46661387-46661975	235	237	199	81	52	97	56
22:46663995-46664235	7	15	1	23	2	27	6
22:46674025-46675360	1368	1534	1199	241	287	732	400
22:46680331-46680604	11	18	10	7	13	7	6
22:46681114-46681399	45	42	16	19	17	32	24
22:46682386-46682650	11	4	18	14	1	9	12
22:46684821-46685021	10	20	2	12	2	6	1
22:46688985-46689399	22	27	14	14	13	13	13
22:46693836-46694103	4	8	18	9	2	5	4
22:46694796-46695034	14	7	4	12	1	15	11
22:46695773-46696213	15	13	9	31	6	34	13
22:46696734-46696939	15	5	8	2	1	10	7
22:46699102-46699324	8	5	3	29	0	2	8
22:46701100-46701300	8	6	2	10	8	15	4
22:46701464-46701755	9	23	1	20	2	7	18
22:46703410-46703644	8	8	4	23	6	8	10
22:46703990-46704259	7	18	4	12	8	16	14
22:46707758-46707958	6	6	1	7	0	2	11
22:46708899-46709470	35	28	8	16	10	21	14
22:46710898-46711330	36	7	43	9	5	3	2
22:46717446-46717646	6	3	1	5	3	4	9
22:46717742-46718003	6	2	5	15	0	6	4
22:46718760-46718960	3	1	1	14	1	1	4
22:46719925-46720136	6	1	1	1	8	6	10
22:46722871-46723119	19	6	6	2	4	6	12
22:46726057-46726417	14	15	4	16	1	14	25
22:46731163-46731445	31	35	15	36	8	14	13
22:46731487-46731813	22	21	13	20	9	20	28
22:46735184-46735557	117	306	123	138	27	144	65
22:46737520-46739590	1116	1926	789	592	193	1054	443
22:46749256-46750426	129	300	118	152	48	328	147
22:46754197-46754826	68	38	110	25	5	17	20
22:46762147-46763070	622	1027	431	244	107	422	350
22:46763122-46763479	47	80	36	57	2	43	19
22:46773761-46775057	464	247	395	118	67	145	118
22:46777696-46778062	52	60	72	32	26	35	38
22:46788559-46788882	64	27	103	25	26	24	14
22:46791084-46791898	273	1169	257	336	46	824	383
22:46798536-46799039	192	222	158	66	60	111	86
22:46803085-46803930	148	254	102	102	34	149	97
22:46805075-46805275	3	3	2	15	8	6	11
22:46811043-46811837	42	25	10	35	3	33	34
22:46815975-46816287	14	10	14	8	0	6	13
22:46816567-46817028	36	15	36	7	7	13	11
22:46822629-46823022	20	2	10	8	4	6	8
22:46824484-46824684	15	3	3	3	2	5	4
22:46830220-46830441	10	2	7	9	0	9	9
22:46830530-46830732	5	1	0	2	2	12	2
22:46834664-46834927	9	4	2	17	4	4	4
22:46836727-46836927	14	0	6	2	6	4	4
22:46842917-46843174	12	12	4	9	0	6	13
22:46846188-46846586	48	13	29	6	30	3	9
22:46851968-46852189	15	7	8	9	1	2	10
22:46859189-46859427	0	4	3	9	6	20	6
22:46859956-46860156	3	11	2	5	11	11	4
22:46860365-46860831	6	12	6	18	18	42	19
22:46867279-46867491	3	2	2	10	6	0	0
22:46869559-46869827	5	13	0	4	0	2	2
22:46874377-46874655	3	2	14	13	7	2	2
22:46881429-46881818	8	13	7	26	4	12	15
22:46881820-46882129	48	20	17	9	19	12	13
22:46882544-46882921	4	5	9	3	1	14	32
22:46885111-46885313	10	3	3	0	1	12	10
22:46888188-46888485	8	10	8	15	6	3	19
22:46891085-46891285	10	0	2	1	0	1	4
22:46893337-46893705	5	19	2	9	3	4	10
22:46894533-46894776	5	3	2	15	0	4	6
22:46903759-46903976	13	5	4	16	3	6	10
22:46907766-46908014	9	13	3	20	0	5	14
22:46909348-46909675	27	15	13	18	4	9	13
22:46910588-46910805	9	19	2	4	2	0	12
22:46915901-46916366	21	7	11	11	16	8	9
22:46916529-46916760	8	12	3	15	2	1	14
22:46917964-46918575	46	19	16	25	0	14	5
22:46923364-46923793	17	9	13	12	9	7	8
22:46929577-46929956	12	6	3	22	2	2	6
22:46934816-46935359	56	6	68	9	31	8	5
22:46935890-46936092	7	12	3	2	4	10	9
22:46940652-46941154	21	11	4	17	6	23	30
22:46942035-46942235	15	5	8	8	2	2	9
22:46942462-46942662	2	3	3	3	7	2	2
22:46942962-46943170	16	6	1	0	0	5	5
22:46947286-46947494	1	13	4	7	0	2	4
22:46950483-46950683	2	2	2	13	1	5	0
22:46954108-46954373	8	3	5	27	3	3	6
22:46959533-46959874	17	22	5	0	5	8	4
22:46963275-46963530	26	9	8	12	7	2	6
22:46966088-46966301	6	10	0	8	0	10	2
22:46967360-46967560	7	2	1	2	4	13	4
22:46968258-46968470	15	17	4	13	3	2	8
22:46969572-46970235	99	21	125	14	17	6	17
22:46974527-46974742	19	10	2	20	2	0	12
22:46977671-46978084	8	13	8	10	18	24	13
22:46979629-46979924	7	8	2	19	3	5	11
22:46982791-46982991	7	4	4	7	0	9	6
22:46983197-46983410	5	9	2	7	3	1	7
22:46986954-46987154	11	3	2	5	5	2	6
22:46992139-46992652	18	17	26	34	4	7	18
22:46994343-46994543	8	12	9	10	11	3	3
22:46996720-46996922	15	8	9	4	9	4	9
22:47001054-47001408	21	4	37	5	4	6	5
22:47001493-47001775	7	0	21	4	0	0	0
22:47003497-47003826	31	12	7	20	1	9	12
22:47003881-47004584	32	29	15	44	7	27	59
22:47005173-47005498	9	25	7	13	2	10	22
22:47014821-47015025	1	15	3	12	2	10	5
22:47020386-47020711	49	1	33	7	8	5	6
22:47021323-47021523	12	4	7	13	6	2	10
22:47021928-47022145	8	6	4	20	0	7	8
22:47022596-47022954	64	1	33	0	20	6	12
22:47025817-47026047	3	11	1	11	0	0	8
22:47029142-47029646	23	18	11	21	20	10	16
22:47032772-47032978	14	4	2	21	1	9	5
22:47033810-47034010	7	5	2	9	0	1	13
22:47035079-47035289	8	12	3	8	8	13	5
22:47043342-47043572	4	19	11	13	2	10	6
22:47043863-47044278	36	28	8	25	10	30	13
22:47044488-47044777	16	19	20	8	4	3	2
22:47046126-47046326	9	9	5	21	6	10	4
22:47050676-47050892	10	8	4	9	12	4	4
22:47053082-47053307	3	10	1	24	3	1	9
22:47053381-47053598	15	12	11	12	13	5	8
22:47056699-47057090	11	18	4	14	4	24	12
22:47058103-47058303	6	6	1	4	3	11	12
22:47063433-47063938	15	24	8	53	3	11	27
22:47066305-47066658	10	20	4	11	3	24	18
22:47067650-47068157	21	29	7	22	4	25	20
22:47072637-47072855	14	5	5	20	1	9	9
22:47077496-47077696	3	2	2	12	3	10	8
22:47082569-47082907	13	2	27	4	11	5	5
22:47083515-47083993	28	2	22	26	6	3	22
22:47089512-47089725	6	9	12	8	9	6	10
22:47090707-47091809	129	1110	125	266	33	662	582
22:47095015-47095379	26	2	36	2	3	1	2
22:47098781-47099444	18	28	8	28	9	25	20
22:47102302-47102517	10	8	1	11	4	13	10
22:47106920-47107147	14	1	9	6	5	2	4
22:47107555-47107837	25	2	25	6	21	1	4
22:47112291-47112596	9	17	5	20	6	18	9
22:47113144-47113344	10	7	5	8	0	14	10
22:47115265-47115465	10	21	5	8	3	8	6
22:47116703-47116936	10	24	6	7	2	9	9
22:47124617-47125384	58	57	10	45	14	21	27
22:47125788-47125988	20	6	0	12	10	3	5
22:47130061-47130319	36	13	18	18	4	5	10
22:47135554-47135763	4	10	1	7	6	14	7
22:47137388-47137815	27	20	9	25	21	14	16
22:47156261-47156755	30	8	31	24	14	19	14
22:47159714-47159981	15	1	7	25	5	26	15
22:47165195-47165395	10	8	10	7	3	8	15
22:47170690-47170984	14	24	10	35	6	44	20
22:47171847-47172330	21	32	26	16	4	29	16
22:47176437-47176864	31	24	13	24	3	22	32
22:47188271-47188484	20	16	7	12	3	2	2
22:47191987-47192187	24	8	8	23	7	7	0
22:47193172-47193525	59	26	14	13	1	12	17
22:47209662-47210249	62	54	13	31	11	29	34
22:47213658-47214520	55	98	33	59	13	41	69
22:47218786-47219009	19	4	6	6	2	8	13
22:47219735-47220243	12	9	12	23	9	25	11
22:47220327-47220664	8	3	2	18	12	15	10
22:47220994-47221348	5	11	4	10	4	29	16
22:47221530-47221742	2	2	3	21	0	2	7
22:47222055-47222255	13	3	3	10	0	13	4
22:47225184-47225584	12	19	8	26	13	3	4
22:47225627-47225831	4	4	10	6	2	1	2
22:47226006-47226635	22	21	28	29	10	20	28
22:47231800-47232193	12	4	5	23	4	10	8
22:47232338-47232538	10	3	4	15	0	5	0
22:47233310-47233527	4	10	0	3	0	2	5
22:47233659-47234169	27	5	12	21	4	12	18
22:47237973-47238173	7	6	3	6	3	13	1
22:47238379-47238629	6	6	4	14	9	7	8
22:47239006-47239423	8	7	11	6	4	22	6
22:47239608-47240094	9	3	14	26	2	12	13
22:47245424-47245660	12	14	3	14	0	12	5
22:47246611-47246839	13	15	12	8	0	5	2
22:47250887-47251455	30	14	7	25	13	16	4
22:47251487-47252410	36	23	29	51	17	31	31
22:47259472-47259678	15	7	8	8	0	7	4
22:47261474-47261692	3	7	2	7	11	10	7
22:47263247-47263452	2	8	7	9	0	15	6
22:47266606-47266806	13	16	3	6	0	5	4
22:47276686-47276923	6	9	2	9	10	4	2
22:47279264-47279586	24	11	5	33	2	14	6
22:47282249-47282815	41	30	24	17	10	31	20
22:47283201-47283417	23	3	7	9	2	4	14
22:47285944-47286144	14	7	11	8	3	6	8
22:47288776-47288977	14	7	6	5	9	8	3
22:47294475-47294688	12	18	4	4	10	7	7
22:47295453-47295785	16	37	9	16	6	14	3
22:47297428-47297628	12	12	4	3	0	13	7
22:47303387-47303759	25	10	12	10	4	23	10
22:47304166-47304388	24	6	4	11	4	6	6
22:47304494-47304894	25	13	11	19	6	17	2
22:47310922-47311138	2	0	1	12	8	0	2
22:47311840-47312040	1	2	7	0	1	1	0
22:47315273-47315495	0	0	0	9	4	1	4
22:47316033-47316372	0	10	2	6	0	4	5
22:47318644-47318939	10	4	3	4	0	0	2
22:47322995-47323209	3	4	9	7	0	0	2
22:47325272-47325505	1	6	2	14	4	2	4
22:47326418-47326628	0	4	2	7	0	2	13
22:47330401-47330654	6	3	1	9	6	14	7
22:47337329-47337699	26	6	5	3	2	7	4
22:47341170-47341442	9	3	3	19	0	5	8
22:47343590-47344032	4	7	9	22	10	19	10
22:47344716-47345567	48	35	16	33	4	23	31
22:47350930-47351142	1	6	2	8	6	12	3
22:47352369-47352575	8	12	5	5	4	6	4
22:47353206-47353439	6	4	12	10	3	2	6
22:47353872-47354072	2	5	1	13	5	2	7
22:47357289-47357619	14	15	9	5	6	10	14
22:47366489-47366689	8	12	6	11	0	11	8
22:47367092-47367296	2	3	5	5	11	4	6
22:47368599-47368876	13	5	19	10	1	0	11
22:47370806-47371006	2	17	8	12	0	8	8
22:47371396-47371967	15	15	14	16	27	16	14
22:47375431-47375642	20	10	4	14	5	0	10
22:47380661-47380866	8	6	1	4	2	11	5
22:47381430-47381645	5	19	3	6	5	3	6
22:47382857-47383057	6	14	8	8	4	1	5
22:47396497-47396767	20	2	17	19	7	7	22
22:47401434-47401749	22	6	8	16	7	12	25
22:47405458-47405759	18	18	15	11	7	6	7
22:47409636-47410004	22	12	4	25	6	18	11
22:47410085-47410285	5	13	3	11	0	2	16
22:47411121-47411496	3	15	5	20	6	7	4
22:47417553-47417959	12	12	15	8	4	6	33
22:47423420-47423667	15	5	7	5	4	5	12
22:47424101-47424531	12	15	14	24	10	9	13
22:47425856-47426056	1	7	2	7	2	2	9
22:47433808-47434383	21	10	17	19	2	22	12
22:47437903-47438137	6	3	3	15	1	0	7
22:47447334-47447544	10	22	9	5	6	9	3
22:47456204-47456404	11	17	2	11	4	0	4
22:47458621-47458876	21	10	2	6	0	6	2
