1001-Effector_CD4pos_T-S	1001-Effector_CD4pos_T-U	1002-Effector_CD4pos_T-S	1002-Effector_CD4pos_T-U	1003-Effector_CD4pos_T-S	1003-Effector_CD4pos_T-U	1004-Effector_CD4pos_T-U
22:12430699-12430899	9	1	4	6	5	10	6
22:12434677-12434877	8	4	0	1	0	2	11
22:12437455-12437786	18	10	5	8	0	3	8
22:12438057-12438514	13	5	9	13	2	13	29
22:12488951-12489744	65	30	41	84	18	28	41
22:12489774-12490444	47	25	24	37	8	28	30
22:12490479-12490730	12	12	13	21	4	8	21
22:12490935-12491534	43	14	23	46	5	21	11
22:12491832-12492032	13	4	14	13	1	5	5
22:12504666-12504972	13	14	10	22	3	11	14
22:12511092-12511292	5	10	4	3	0	1	2
22:12511962-12512167	3	0	8	13	2	2	0
22:12518612-12518843	2	4	8	7	0	0	2
22:12521499-12521699	6	0	5	6	1	5	0
22:12529344-12529695	22	6	17	2	7	1	2
22:12530996-12531247	16	4	0	1	0	0	4
22:12531785-12532017	1	5	1	9	0	1	0
22:12537078-12537404	13	17	12	5	0	11	16
22:12538548-12538792	8	11	6	9	8	8	10
22:12541202-12541829	55	31	28	39	13	24	28
22:12541896-12542138	25	11	8	17	3	2	9
22:12551173-12551475	28	30	18	27	2	29	9
22:12552301-12552501	19	9	9	16	8	7	11
22:12553398-12553710	29	22	18	16	2	10	8
22:12553941-12554154	24	12	9	18	1	18	8
22:12559254-12559861	84	39	58	52	14	37	40
22:12561351-12561899	53	53	52	70	2	47	41
22:12562315-12562517	12	17	8	26	6	2	9
22:12565044-12565256	6	5	8	3	2	11	23
22:12567329-12567800	30	24	28	18	16	22	19
22:12571670-12571961	25	15	16	38	8	12	9
22:12573217-12573787	45	39	16	50	16	17	30
22:12578313-12578521	16	4	6	13	6	7	15
22:12579767-12580019	34	29	22	9	8	12	17
22:12584156-12585296	154	103	106	112	25	49	70
22:12593673-12593898	18	16	19	22	3	15	14
22:12596254-12596578	46	8	20	31	0	12	17
22:12598107-12598331	20	19	11	29	4	14	24
22:12598529-12598744	30	3	13	29	4	12	14
22:12601829-12602954	129	107	103	118	34	55	90
22:12603988-12604199	7	4	7	28	1	6	11
22:12609025-12609630	31	22	25	54	2	24	29
22:12610024-12610627	36	20	24	25	13	11	34
22:12613570-12613770	6	2	1	8	8	3	4
22:12614786-12615245	22	10	16	28	2	14	34
22:12622510-12622710	15	5	4	3	4	1	5
22:12622881-12623081	19	13	4	15	6	5	7
22:12624483-12625063	18	31	28	51	15	30	21
22:12628061-12628501	22	27	14	47	6	20	25
22:12629349-12629549	7	8	6	9	4	9	13
22:12636161-12636831	48	46	32	55	7	27	42
22:12639425-12639731	15	12	7	21	10	3	2
22:12640324-12640598	21	13	8	16	6	3	6
22:12641442-12641642	10	3	6	13	0	1	13
22:12691737-12693061	336	289	308	386	128	214	330
22:12693394-12694232	444	267	268	271	114	243	217
22:12700407-12700609	7	0	3	2	6	4	6
22:12704681-12704888	5	5	9	10	0	1	14
22:12707575-12707931	12	10	13	9	0	16	10
22:12709804-12710004	2	1	8	7	2	2	4
22:12723297-12723666	24	7	8	12	3	6	9
22:12725446-12726081	38	25	6	27	11	8	17
22:12776297-12776565	10	15	10	6	2	4	9
22:12776734-12777394	23	8	17	48	12	12	19
22:12777508-12778007	27	11	23	15	9	9	22
22:12778086-12778624	28	4	17	32	4	22	11
22:12778705-12778958	1	4	12	18	6	14	3
22:12779179-12779546	8	13	5	13	19	14	13
22:12785063-12785315	2	7	4	5	0	4	11
22:12791697-12792170	15	10	15	24	12	15	23
22:12796319-12796748	27	14	28	19	2	17	11
22:12798976-12799357	30	28	17	31	12	20	9
22:12801459-12801888	29	13	12	14	4	9	4
22:12811815-12812061	4	4	2	9	3	9	3
22:12812267-12812499	4	3	0	8	0	6	13
22:12815229-12815934	54	32	48	27	5	10	32
22:12817552-12817787	16	6	7	7	3	4	15
22:12869248-12869556	7	2	7	4	0	4	14
